frame,time_s,root_x,root_y,root_z,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
0,0.000000,-1.67073119,0.07262085,0.82630134,1.35522878,-0.03798114,-0.21150546,0.81802022,-0.35730550,0.12639353
1,0.016667,-1.67073119,0.07262085,0.82630134,2.01843882,-0.05312495,-0.32846996,1.12620258,-0.48331398,0.19816022
2,0.033333,-1.55642629,0.06908186,0.81049126,2.59035492,-0.06174147,-0.43800658,1.35474694,-0.52564889,0.24947809
3,0.050000,-1.55642629,0.06908186,0.81049126,2.96544194,-0.06103374,-0.51034701,1.47612309,-0.42977282,0.22454917
4,0.066667,-1.44763625,0.06678454,0.78694284,3.14474702,-0.05345366,-0.52613026,1.47897446,-0.18975884,0.07729688
5,0.083333,-1.44763625,0.06678454,0.78694284,3.19746757,-0.04463970,-0.48023838,1.34833181,0.12967780,-0.15561481
6,0.100000,-1.33923566,0.06649666,0.76971048,3.19943690,-0.03938341,-0.37709889,1.10098290,0.40771213,-0.30973834
7,0.116667,-1.33923566,0.06649666,0.76971048,3.20357871,-0.03956455,-0.22522739,0.80973059,0.53702760,-0.19076429
8,0.133333,-1.23851693,0.06466792,0.76116490,3.23598552,-0.04551021,-0.03768548,0.55464280,0.51015687,0.21660404
9,0.150000,-1.23851693,0.06466792,0.76116490,3.29846406,-0.05777634,0.16431367,0.36200196,0.42744055,0.67493135
10,0.166667,-1.12525058,0.06413732,0.77320433,3.37721848,-0.07580572,0.35311225,0.21056746,0.39690456,0.88963586
11,0.183333,-1.12525058,0.06413732,0.77320433,3.45730686,-0.09522431,0.50344998,0.07886559,0.43830353,0.74829984
12,0.200000,-1.00891387,0.05891062,0.79705751,3.53132629,-0.10873481,0.60150945,-0.03358011,0.49593246,0.34692165
13,0.216667,-1.00891387,0.05891062,0.79705751,3.59747958,-0.11075139,0.64734769,-0.11417858,0.51522434,-0.14210096
14,0.233333,-0.88722634,0.05464344,0.82096159,3.65394068,-0.10073368,0.65055954,-0.14574544,0.48433766,-0.57056212
15,0.250000,-0.88722634,0.05464344,0.82096159,3.69713259,-0.08260051,0.62316543,-0.10858887,0.42095488,-0.83859217
16,0.266667,-0.76181334,0.05215992,0.84189659,3.72379088,-0.06231461,0.57392281,0.00841686,0.34557262,-0.90245271
17,0.283333,-0.76181334,0.05215992,0.84189659,3.73310614,-0.04569131,0.50551194,0.18917985,0.26853853,-0.78616953
18,0.300000,-0.63648498,0.05207240,0.85855877,3.72702384,-0.03643161,0.41469353,0.37876293,0.19105171,-0.57293278
19,0.316667,-0.63648498,0.05207240,0.85855877,3.70918179,-0.03476208,0.29632014,0.49149537,0.11113568,-0.37282032
20,0.333333,-0.51281619,0.05077703,0.87017488,3.68375182,-0.03795362,0.15055111,0.44214597,0.02580453,-0.28073895
