frame,time_s,root_x,root_y,root_z,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
0,0.000000,-2.11379957,0.43838927,0.77680206,0.64754635,0.07875364,-0.04223017,-0.11660204,0.07041378,-0.38387114
1,0.016667,-2.11379957,0.43838927,0.77680206,0.97746253,0.11904174,-0.06407569,-0.15600871,0.06346507,-0.47024351
2,0.033333,-2.06054473,0.44476739,0.77340281,1.27857900,0.15496324,-0.08347921,-0.15331949,0.02783669,-0.45359194
3,0.050000,-2.06054473,0.44476739,0.77340281,1.50149107,0.17890681,-0.09486541,-0.07310890,-0.01990333,-0.32677123
4,0.066667,-2.00514531,0.45195282,0.76955748,1.64234471,0.18906173,-0.09392139,0.09929861,-0.05378984,-0.13368729
5,0.083333,-2.00514531,0.45195282,0.76955748,1.72484326,0.18859331,-0.07835621,0.34124896,-0.06292452,0.06036215
6,0.100000,-1.94574320,0.45820099,0.76535642,1.77116525,0.18251354,-0.04953931,0.59606987,-0.06415871,0.20277613
7,0.116667,-1.94574320,0.45820099,0.76535642,1.79025424,0.17530625,-0.01323632,0.79945898,-0.08897810,0.27075735
8,0.133333,-1.88319194,0.46368763,0.76723480,1.78345847,0.17013428,0.02366105,0.91292769,-0.15422818,0.26805326
9,0.150000,-1.88319194,0.46368763,0.76723480,1.75354755,0.16880976,0.05826565,0.93831033,-0.24678539,0.21056204
10,0.166667,-1.82494187,0.46885777,0.76885283,1.70800626,0.17169081,0.09261964,0.90174246,-0.33700526,0.11489430
11,0.183333,-1.82494187,0.46885777,0.76885283,1.65656185,0.17746294,0.12912649,0.82655668,-0.40039787,-0.00104583
12,0.200000,-1.77135968,0.47498196,0.77351129,1.60713506,0.18331759,0.16586471,0.72145969,-0.42414436,-0.11040501
13,0.216667,-1.77135968,0.47498196,0.77351129,1.56393743,0.18586819,0.19661488,0.58925682,-0.40446177,-0.18020959
14,0.233333,-1.72026634,0.48189068,0.78247464,1.52809334,0.18251045,0.21507883,0.44198799,-0.34903529,-0.18902259
15,0.250000,-1.72026634,0.48189068,0.78247464,1.49947083,0.17256340,0.21878351,0.30548623,-0.28001732,-0.13913713
16,0.266667,-1.67116582,0.48777223,0.78994215,1.47803462,0.15754490,0.20904794,0.20837940,-0.22551000,-0.04880667
17,0.283333,-1.67116582,0.48777223,0.78994215,1.46403337,0.14034703,0.18800925,0.16765951,-0.20256452,0.06059411
18,0.300000,-1.62316573,0.49176839,0.79666185,1.45735753,0.12374546,0.15680751,0.18232192,-0.20591886,0.16669051
19,0.316667,-1.62316573,0.49176839,0.79666185,1.45690203,0.10914707,0.11695614,0.23586866,-0.21284951,0.25076449
20,0.333333,-1.57474804,0.49513814,0.80046332,1.46058369,0.09634888,0.07277643,0.30130079,-0.20084108,0.31243384
