motion_path,source_set,subject,action_category,action_zh,reference_frames,control_steps,duration_seconds,frequency_hz,historical_tracker_success,historical_frame_coverage,historical_done_reason,replay_candidate
KIT/10/LeftTurn01_poses,official_kit,10,turn_left,左转,371,370,3.7,100.0,True,0.9973045822102425,completed,True
KIT/10/LeftTurn02_poses,official_kit,10,turn_left,左转,291,290,2.9,100.0,True,0.9965635738831615,completed,True
KIT/10/LeftTurn03_poses,official_kit,10,turn_left,左转,358,357,3.57,100.0,True,0.9972067039106145,completed,True
KIT/10/LeftTurn04_poses,official_kit,10,turn_left,左转,448,447,4.47,100.0,True,0.9977678571428571,completed,True
KIT/10/LeftTurn05_poses,official_kit,10,turn_left,左转,388,387,3.87,100.0,True,0.9974226804123711,completed,True
KIT/10/LeftTurn06_poses,official_kit,10,turn_left,左转,389,388,3.88,100.0,True,0.9974293059125964,completed,True
KIT/10/LeftTurn07_poses,official_kit,10,turn_left,左转,390,389,3.89,100.0,True,0.9974358974358974,completed,True
KIT/10/LeftTurn08_poses,official_kit,10,turn_left,左转,534,533,5.33,100.0,True,0.99812734082397,completed,True
KIT/10/LeftTurn09_poses,official_kit,10,turn_left,左转,450,449,4.49,100.0,True,0.9977777777777778,completed,True
KIT/10/LeftTurn10_poses,official_kit,10,turn_left,左转,419,418,4.18,100.0,True,0.9976133651551312,completed,True
KIT/10/RightTurn01_poses,official_kit,10,turn_right,右转,503,502,5.02,100.0,True,0.9980119284294234,completed,True
KIT/10/RightTurn02_poses,official_kit,10,turn_right,右转,489,488,4.88,100.0,True,0.9979550102249489,completed,True
KIT/10/RightTurn03_poses,official_kit,10,turn_right,右转,536,535,5.35,100.0,True,0.9981343283582089,completed,True
KIT/10/RightTurn04_poses,official_kit,10,turn_right,右转,517,516,5.16,100.0,True,0.9980657640232108,completed,True
KIT/10/RightTurn05_poses,official_kit,10,turn_right,右转,623,622,6.22,100.0,True,0.9983948635634029,completed,True
KIT/10/RightTurn06_poses,official_kit,10,turn_right,右转,537,536,5.36,100.0,True,0.9981378026070763,completed,True
KIT/10/RightTurn07_poses,official_kit,10,turn_right,右转,511,510,5.1,100.0,True,0.9980430528375733,completed,True
KIT/10/RightTurn08_poses,official_kit,10,turn_right,右转,537,536,5.36,100.0,True,0.9981378026070763,completed,True
KIT/10/RightTurn09_poses,official_kit,10,turn_right,右转,531,530,5.3,100.0,True,0.9981167608286252,completed,True
KIT/10/RightTurn10_poses,official_kit,10,turn_right,右转,536,535,5.35,100.0,True,0.9981343283582089,completed,True
KIT/10/WalkInClockwiseCircle01_poses,official_kit,10,clockwise_circle,顺时针绕圈,677,676,6.76,100.0,True,0.9985228951255539,completed,True
KIT/10/WalkInClockwiseCircle02_poses,official_kit,10,clockwise_circle,顺时针绕圈,663,662,6.62,100.0,True,0.9984917043740573,completed,True
